cao_number;id;ingangsdatum;expiratiedatum;datum_kennisgeving;pdf_name;page_name;main_link_url
1287;1287002;01/01/2022;31/03/2024;18/03/2022;Grafimedia cao 2022-2024 2 maart 2022.pdf;1287 - GRAFIMEDIA - 01-01-2022 - 31-03-2024 - Regulier - kvo datum - 18-03-2022;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=28699&mSelod=704751
1287;1287003;01/01/2022;31/03/2024;28/02/2022;Grafimedia cao 2022-2024 15 februari 2022.pdf;1287 - GRAFIMEDIA - 01-01-2022 - 31-03-2024 - Regulier - kvo datum - 28-02-2022;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=27724&mSelod=704751
1287;1287004;01/02/2010;31/01/2015;19/10/2011;Reglement_Garantiefonds_07_12_2011__2_.pdf;1287 - GRAFIMEDIA - 01-02-2010 - 31-01-2015 - Regulier - kvo datum - 19-10-2011 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=9120&mSelod=704751
1287;1287005;01/02/2010;31/01/2015;29/09/2010;Grafimedia def..pdf;1287 - GRAFIMEDIA - 01-02-2010 - 31-01-2015 - Regulier - kvo datum - 29-09-2010;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=9119&mSelod=704751
1287;1287006;01/02/2012;31/01/2017;15/01/2013;Cao_2012_2013_wijz_art_169_z_renv_fndsbep_def.pdf;1287 - GRAFIMEDIA - 01-02-2012 - 31-01-2017 - Regulier - kvo datum - 15-01-2013 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=9122&mSelod=704751
1287;1287007;01/02/2012;31/01/2017;15/05/2012;Grafimedia_cao.pdf;1287 - GRAFIMEDIA - 01-02-2012 - 31-01-2017 - Regulier - kvo datum - 15-05-2012;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=9121&mSelod=704751
1287;1287008;01/04/2018;31/07/2020;18/02/2019;Grafimedia cao 2018-2020 def 12-2-19.pdf .pdf;1287 - GRAFIMEDIA - 01-04-2018 - 31-07-2020 - Regulier - kvo datum - 18-02-2019;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=842&mSelod=704751
1287;1287009;01/04/2024;31/12/2025;02/12/2024;DEF Grafimedia cao 2024-2025 schone versie TCC 29112024.pdf;1287 - GRAFIMEDIA - 01-04-2024 - 31-12-2025 - Regulier - kvo datum - 02-12-2024 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=45231&mSelod=704751
1287;1287010;01/04/2024;31/12/2025;10/12/2024;DEF Grafimedia cao 2024-2025 TCC 09122024.pdf;1287 - GRAFIMEDIA - 01-04-2024 - 31-12-2025 - Regulier - kvo datum - 10-12-2024;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=45473&mSelod=704751
1287;1287011;01/04/2024;31/12/2025;11/02/2025;DEF Grafimedia cao 2024-2025 21012025.pdf;1287 - GRAFIMEDIA - 01-04-2024 - 31-12-2025 - Regulier - kvo datum - 11-02-2025 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=46587&mSelod=704751
